movieId,title,genres,year,clean_title,popularity_score,avg_rating
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds,141,3.113475177
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,Twelve Monkeys,1511,3.945731304
33,Wings of Courage (1995),Adventure|Romance,1995,Wings of Courage,4,3
34,Babe (1995),Children's|Comedy|Drama,1995,Babe,1751,3.891490577
35,Carrington (1995),Drama|Romance,1995,Carrington,70,3.314285714
36,Dead Man Walking (1995),Drama,1995,Dead Man Walking,928,3.957974138
37,Across the Sea of Time (1995),Documentary,1995,Across the Sea of Time,8,3.5
38,It Takes Two (1995),Comedy,1995,It Takes Two,28,2.821428571
39,Clueless (1995),Comedy|Romance,1995,Clueless,1362,3.623348018
40,"Cry, the Beloved Country (1995)",Drama,1995,"Cry, the Beloved Country",30,3.933333333
41,Richard III (1995),Drama|War,1995,Richard III,242,3.958677686
42,Dead Presidents (1995),Action|Crime|Drama,1995,Dead Presidents,221,2.868778281
43,Restoration (1995),Drama,1995,Restoration,166,3.445783133
44,Mortal Kombat (1995),Action|Adventure,1995,Mortal Kombat,311,2.78778135
45,To Die For (1995),Comedy|Drama,1995,To Die For,544,3.424632353
46,How to Make an American Quilt (1995),Drama|Romance,1995,How to Make an American Quilt,166,3.108433735
47,Seven (Se7en) (1995),Crime|Thriller,1995,Seven (Se7en),1137,4.106420405
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,Pocahontas,382,2.976439791
49,When Night Is Falling (1995),Drama|Romance,1995,When Night Is Falling,27,3.740740741
50,"Usual Suspects, The (1995)",Crime|Thriller,1995,"Usual Suspects, The",1783,4.517106001
51,Guardian Angel (1994),Action|Drama|Thriller,1994,Guardian Angel,,
52,Mighty Aphrodite (1995),Comedy,1995,Mighty Aphrodite,431,3.64037123
53,Lamerica (1994),Drama,1994,Lamerica,8,4.75
54,"Big Green, The (1995)",Children's|Comedy,1995,"Big Green, The",41,2.56097561
55,Georgia (1995),Drama,1995,Georgia,45,3.066666667
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995,Kids of the Round Table,9,2
57,Home for the Holidays (1995),Drama,1995,Home for the Holidays,99,3.404040404
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994,"Postino, Il (The Postman)",501,4.093812375
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995,"Confessional, The (Le Confessionnal)",8,2.75
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,1995,"Indian in the Cupboard, The",357,3.212885154
61,Eye for an Eye (1996),Drama|Thriller,1996,Eye for an Eye,67,3
62,Mr. Holland's Opus (1995),Drama,1995,Mr. Holland's Opus,541,3.696857671
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,111,2.855855856
64,Two if by Sea (1996),Comedy|Romance,1996,Two if by Sea,79,2.265822785
65,Bio-Dome (1996),Comedy,1996,Bio-Dome,143,2.062937063
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace,97,1.670103093
67,Two Bits (1995),Drama,1995,Two Bits,4,3.25
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,French Twist (Gazon maudit),60,3.45
69,Friday (1995),Comedy,1995,Friday,319,3.655172414
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,1996,From Dusk Till Dawn,914,3.156455142
71,Fair Game (1995),Action,1995,Fair Game,96,2.104166667
72,Kicking and Screaming (1995),Comedy|Drama,1995,Kicking and Screaming,93,3.634408602
73,"Misérables, Les (1995)",Drama|Musical,1995,"Misérables, Les",224,3.816964286
74,Bed of Roses (1996),Drama|Romance,1996,Bed of Roses,120,2.975
75,Big Bully (1996),Comedy|Drama,1996,Big Bully,12,1.916666667
76,Screamers (1995),Sci-Fi|Thriller,1995,Screamers,178,2.853932584
77,Nico Icon (1995),Documentary,1995,Nico Icon,34,3.764705882
78,"Crossing Guard, The (1995)",Drama,1995,"Crossing Guard, The",50,3.26
79,"Juror, The (1996)",Drama|Thriller,1996,"Juror, The",114,2.605263158
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,1995,"White Balloon, The (Badkonake Sefid )",52,3.826923077
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,1995,Things to Do in Denver when You're Dead,166,3.162650602
82,Antonia's Line (Antonia) (1995),Drama,1995,Antonia's Line (Antonia),89,3.876404494
83,Once Upon a Time... When We Were Colored (1995),Drama,1995,Once Upon a Time... When We Were Colored,33,3.696969697
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995,Last Summer in the Hamptons,21,3.095238095
85,Angels and Insects (1995),Drama|Romance,1995,Angels and Insects,194,3.402061856
86,White Squall (1996),Adventure|Drama,1996,White Squall,236,3.394067797
87,Dunston Checks In (1996),Children's|Comedy,1996,Dunston Checks In,76,2.210526316
88,Black Sheep (1996),Comedy,1996,Black Sheep,192,2.942708333
89,Nick of Time (1995),Action|Thriller,1995,Nick of Time,229,3.074235808
90,"Journey of August King, The (1995)",Drama,1995,"Journey of August King, The",6,3.666666667
92,Mary Reilly (1996),Drama|Thriller,1996,Mary Reilly,88,2.340909091
93,Vampire in Brooklyn (1995),Comedy|Romance,1995,Vampire in Brooklyn,89,2.235955056
94,Beautiful Girls (1996),Drama,1996,Beautiful Girls,182,3.725274725
95,Broken Arrow (1996),Action|Thriller,1996,Broken Arrow,638,2.876175549
96,In the Bleak Midwinter (1995),Comedy,1995,In the Bleak Midwinter,13,3.923076923
97,"Hate (Haine, La) (1995)",Drama,1995,"Hate (Haine, La)",44,3.75
98,Shopping (1994),Action|Thriller,1994,Shopping,6,2
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995,Heidi Fleiss: Hollywood Madam,50,3.46
100,City Hall (1996),Drama|Thriller,1996,City Hall,128,3.0625
101,Bottle Rocket (1996),Comedy,1996,Bottle Rocket,253,3.869565217
102,Mr. Wrong (1996),Comedy,1996,Mr. Wrong,60,1.816666667
103,Unforgettable (1996),Thriller,1996,Unforgettable,33,3.212121212
104,Happy Gilmore (1996),Comedy,1996,Happy Gilmore,682,3.526392962
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,"Bridges of Madison County, The",387,3.23255814
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994,Nobody Loves Me (Keiner liebt mich),12,3.583333333
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,1996,Muppet Treasure Island,256,3.1484375
108,Catwalk (1995),Documentary,1995,Catwalk,7,2.857142857
109,Headless Body in Topless Bar (1995),Comedy,1995,Headless Body in Topless Bar,,
110,Braveheart (1995),Action|Drama|War,1995,Braveheart,2443,4.23495702
111,Taxi Driver (1976),Drama|Thriller,1976,Taxi Driver,1240,4.183870968
112,Rumble in the Bronx (1995),Action|Adventure|Crime,1995,Rumble in the Bronx,570,3.443859649
113,Before and After (1996),Drama|Mystery,1996,Before and After,53,2.981132075
114,Margaret's Museum (1995),Drama,1995,Margaret's Museum,11,3.090909091
115,Happiness Is in the Field (1995),Comedy,1995,Happiness Is in the Field,,
116,Anne Frank Remembered (1995),Documentary,1995,Anne Frank Remembered,41,4.097560976
117,"Young Poisoner's Handbook, The (1995)",Crime,1995,"Young Poisoner's Handbook, The",79,3.632911392
118,If Lucy Fell (1996),Comedy|Romance,1996,If Lucy Fell,68,3.073529412
119,"Steal Big, Steal Little (1995)",Comedy,1995,"Steal Big, Steal Little",13,2.461538462
120,Race the Sun (1996),Drama,1996,Race the Sun,3,2.666666667
121,"Boys of St. Vincent, The (1993)",Drama,1993,"Boys of St. Vincent, The",37,4.054054054
122,Boomerang (1992),Comedy|Romance,1992,Boomerang,194,2.768041237
123,Chungking Express (1994),Drama|Mystery|Romance,1994,Chungking Express,115,3.869565217
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995,"Star Maker, The (Uomo delle stelle, L')",14,3.214285714
125,Flirting With Disaster (1996),Comedy,1996,Flirting With Disaster,318,3.833333333
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1994,"NeverEnding Story III, The",99,1.98989899
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1994,"Silence of the Palace, The (Saimt el Qusur)",1,1
128,Jupiter's Wife (1994),Documentary,1994,Jupiter's Wife,12,4.333333333
129,Pie in the Sky (1995),Comedy|Romance,1995,Pie in the Sky,13,3.307692308
130,Angela (1995),Drama,1995,Angela,2,4
131,Frankie Starlight (1995),Drama|Romance,1995,Frankie Starlight,16,3.0625
132,Jade (1995),Thriller,1995,Jade,91,2.494505495
133,Nueba Yol (1995),Comedy|Drama,1995,Nueba Yol,1,1
134,Sonic Outlaws (1995),Documentary,1995,Sonic Outlaws,2,4
135,Down Periscope (1996),Comedy,1996,Down Periscope,133,2.812030075
136,From the Journals of Jean Seberg (1995),Documentary,1995,From the Journals of Jean Seberg,8,3.25
137,Man of the Year (1995),Documentary,1995,Man of the Year,13,3
138,"Neon Bible, The (1995)",Drama,1995,"Neon Bible, The",2,2.5
139,Target (1995),Action|Drama,1995,Target,1,4
140,Up Close and Personal (1996),Drama|Romance,1996,Up Close and Personal,139,3.165467626
141,"Birdcage, The (1996)",Comedy,1996,"Birdcage, The",682,3.549853372
142,Shadows (Cienie) (1988),Drama,1988,Shadows (Cienie),1,1
143,Gospa (1995),Drama,1995,Gospa,,
144,"Brothers McMullen, The (1995)",Comedy,1995,"Brothers McMullen, The",433,3.3926097
145,Bad Boys (1995),Action,1995,Bad Boys,362,3.29558011
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,1995,"Amazing Panda Adventure, The",18,2.888888889
147,"Basketball Diaries, The (1995)",Drama,1995,"Basketball Diaries, The",181,3.541436464
148,"Awfully Big Adventure, An (1995)",Drama,1995,"Awfully Big Adventure, An",23,2.782608696
149,Amateur (1994),Crime|Drama|Thriller,1994,Amateur,47,3.787234043
150,Apollo 13 (1995),Drama,1995,Apollo 13,1251,4.073541167
151,Rob Roy (1995),Drama|Romance|War,1995,Rob Roy,554,3.588447653
152,"Addiction, The (1995)",Horror,1995,"Addiction, The",69,3
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,Batman Forever,777,2.642213642
154,Belle de jour (1967),Drama,1967,Belle de jour,168,3.726190476
155,Beyond Rangoon (1995),Drama|War,1995,Beyond Rangoon,87,3.413793103
156,Blue in the Face (1995),Comedy,1995,Blue in the Face,66,3.560606061
157,Canadian Bacon (1994),Comedy|War,1994,Canadian Bacon,187,2.732620321
158,Casper (1995),Adventure|Children's,1995,Casper,259,2.980694981
159,Clockers (1995),Drama,1995,Clockers,116,3.284482759
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,Congo,565,2.238938053
161,Crimson Tide (1995),Drama|Thriller|War,1995,Crimson Tide,760,3.723684211
162,Crumb (1994),Documentary,1994,Crumb,491,4.063136456
163,Desperado (1995),Action|Romance|Thriller,1995,Desperado,540,3.457407407
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,Devil in a Blue Dress,379,3.567282322
165,Die Hard: With a Vengeance (1995),Action|Thriller,1995,Die Hard: With a Vengeance,825,3.561212121
166,"Doom Generation, The (1995)",Comedy|Drama,1995,"Doom Generation, The",61,2.459016393
167,Feast of July (1995),Drama,1995,Feast of July,5,3.6
168,First Knight (1995),Action|Adventure|Drama|Romance,1995,First Knight,362,2.950276243
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,1995,Free Willy 2: The Adventure Home,113,2.017699115
170,Hackers (1995),Action|Crime|Thriller,1995,Hackers,321,3.146417445
171,Jeffrey (1995),Comedy,1995,Jeffrey,93,3.569892473
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,Johnny Mnemonic,458,2.576419214
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,1995,Judge Dredd,564,2.308510638
174,Jury Duty (1995),Comedy,1995,Jury Duty,81,2.308641975
175,Kids (1995),Drama,1995,Kids,220,3.477272727
176,Living in Oblivion (1995),Comedy,1995,Living in Oblivion,205,3.917073171
177,Lord of Illusions (1995),Horror,1995,Lord of Illusions,139,2.73381295
178,Love & Human Remains (1993),Comedy,1993,Love & Human Remains,19,3.473684211
179,Mad Love (1995),Drama|Romance,1995,Mad Love,48,2.208333333
180,Mallrats (1995),Comedy,1995,Mallrats,451,3.54767184
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,1995,Mighty Morphin Power Rangers: The Movie,93,1.612903226
182,Moonlight and Valentino (1995),Drama|Romance,1995,Moonlight and Valentino,49,3.142857143
183,Mute Witness (1994),Thriller,1994,Mute Witness,29,3.482758621
184,Nadja (1994),Drama,1994,Nadja,26,3.346153846
185,"Net, The (1995)",Sci-Fi|Thriller,1995,"Net, The",569,2.869947276
186,Nine Months (1995),Comedy,1995,Nine Months,211,2.763033175
187,Party Girl (1995),Comedy,1995,Party Girl,105,3.238095238
188,"Prophecy, The (1995)",Horror,1995,"Prophecy, The",190,3.221052632
189,Reckless (1995),Comedy,1995,Reckless,15,3.4
190,Safe (1995),Thriller,1995,Safe,100,3.75
191,"Scarlet Letter, The (1995)",Drama,1995,"Scarlet Letter, The",75,2.466666667
192,"Show, The (1995)",Documentary,1995,"Show, The",2,3
193,Showgirls (1995),Drama,1995,Showgirls,217,2.050691244
194,Smoke (1995),Drama,1995,Smoke,213,3.755868545
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,Something to Talk About,164,2.841463415
196,Species (1995),Horror|Sci-Fi,1995,Species,550,2.823636364
197,"Stars Fell on Henrietta, The (1995)",Drama,1995,"Stars Fell on Henrietta, The",17,3.058823529
198,Strange Days (1995),Action|Crime|Sci-Fi,1995,Strange Days,605,3.295867769
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,1964,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",117,3.811965812
200,"Tie That Binds, The (1995)",Thriller,1995,"Tie That Binds, The",12,2.416666667
201,Three Wishes (1995),Drama,1995,Three Wishes,33,2.636363636
202,Total Eclipse (1995),Drama|Romance,1995,Total Eclipse,30,2.5
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,"To Wong Foo, Thanks for Everything! Julie Newmar",203,3.054187192
204,Under Siege 2: Dark Territory (1995),Action,1995,Under Siege 2: Dark Territory,203,2.921182266
205,Unstrung Heroes (1995),Comedy|Drama,1995,Unstrung Heroes,85,3.611764706
206,Unzipped (1995),Documentary,1995,Unzipped,82,3.670731707
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,"Walk in the Clouds, A",219,3.132420091
208,Waterworld (1995),Action|Adventure,1995,Waterworld,651,2.631336406
209,White Man's Burden (1995),Drama,1995,White Man's Burden,52,2.461538462
210,Wild Bill (1995),Western,1995,Wild Bill,41,3.146341463
211,"Browning Version, The (1994)",Drama,1994,"Browning Version, The",34,3.558823529
212,Bushwhacked (1995),Comedy,1995,Bushwhacked,14,1.928571429
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,1994,Burnt By the Sun (Utomlyonnye solntsem),123,4.056910569
214,Before the Rain (Pred dozhdot) (1994),Drama,1994,Before the Rain (Pred dozhdot),28,4.25
215,Before Sunrise (1995),Drama|Romance,1995,Before Sunrise,160,3.80625
216,Billy Madison (1995),Comedy,1995,Billy Madison,355,3.183098592
217,"Babysitter, The (1995)",Drama|Thriller,1995,"Babysitter, The",64,2.625
218,Boys on the Side (1995),Comedy|Drama,1995,Boys on the Side,195,3.128205128
219,"Cure, The (1995)",Drama,1995,"Cure, The",22,3.181818182
220,Castle Freak (1995),Horror,1995,Castle Freak,28,1.821428571
222,Circle of Friends (1995),Drama|Romance,1995,Circle of Friends,329,3.547112462
223,Clerks (1994),Comedy,1994,Clerks,1412,3.946883853
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,Don Juan DeMarco,386,3.39119171
225,Disclosure (1994),Drama|Thriller,1994,Disclosure,254,3.173228346
226,Dream Man (1995),Thriller,1995,Dream Man,1,2
227,Drop Zone (1994),Action,1994,Drop Zone,129,2.674418605
228,Destiny Turns on the Radio (1995),Comedy,1995,Destiny Turns on the Radio,13,2.153846154
229,Death and the Maiden (1994),Drama|Thriller,1994,Death and the Maiden,108,3.5
230,Dolores Claiborne (1994),Drama|Thriller,1994,Dolores Claiborne,349,3.452722063
231,Dumb & Dumber (1994),Comedy,1994,Dumb & Dumber,660,3.192424242
232,Eat Drink Man Woman (1994),Comedy|Drama,1994,Eat Drink Man Woman,346,4.075144509
233,Exotica (1994),Drama,1994,Exotica,235,3.612765957
234,Exit to Eden (1994),Comedy,1994,Exit to Eden,147,2.224489796
235,Ed Wood (1994),Comedy|Drama,1994,Ed Wood,927,3.696871629
236,French Kiss (1995),Comedy|Romance,1995,French Kiss,326,3.303680982
237,Forget Paris (1995),Comedy|Romance,1995,Forget Paris,257,2.972762646
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,1995,Far From Home: The Adventures of Yellow Dog,32,2.8125
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,1995,"Goofy Movie, A",168,2.875
240,Hideaway (1995),Thriller,1995,Hideaway,45,2.711111111
241,Fluke (1995),Children's|Drama,1995,Fluke,29,3.310344828
242,Farinelli: il castrato (1994),Drama|Musical,1994,Farinelli: il castrato,80,3.5
243,Gordy (1995),Comedy,1995,Gordy,10,2.1
244,Gumby: The Movie (1995),Animation|Children's,1995,Gumby: The Movie,10,1.9
245,"Glass Shield, The (1994)",Crime|Drama,1994,"Glass Shield, The",11,3
246,Hoop Dreams (1994),Documentary,1994,Hoop Dreams,716,4.188547486
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,1994,Heavenly Creatures,477,3.865828092
248,Houseguest (1994),Comedy,1994,Houseguest,138,2.913043478
249,Immortal Beloved (1994),Drama|Romance,1994,Immortal Beloved,261,3.75862069
250,Heavyweights (1994),Children's|Comedy,1994,Heavyweights,30,2.6
251,"Hunted, The (1995)",Action,1995,"Hunted, The",18,3.277777778
252,I.Q. (1994),Comedy|Romance,1994,I.Q.,367,3.269754768
253,Interview with the Vampire (1994),Drama|Horror,1994,Interview with the Vampire,738,3.524390244
254,Jefferson in Paris (1995),Drama,1995,Jefferson in Paris,38,3.078947368
255,"Jerky Boys, The (1994)",Comedy,1994,"Jerky Boys, The",66,2.060606061
256,Junior (1994),Comedy|Sci-Fi,1994,Junior,218,2.651376147
257,Just Cause (1995),Mystery|Thriller,1995,Just Cause,114,3.228070175
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,1995,"Kid in King Arthur's Court, A",144,2.423611111
259,Kiss of Death (1995),Crime|Drama|Thriller,1995,Kiss of Death,102,2.843137255
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,1977,Star Wars: Episode IV - A New Hope,2991,4.453694417
261,Little Women (1994),Drama,1994,Little Women,285,3.649122807
262,"Little Princess, A (1995)",Children's|Drama,1995,"Little Princess, A",172,3.872093023
263,Ladybird Ladybird (1994),Drama,1994,Ladybird Ladybird,28,3.857142857
264,"Enfer, L' (1994)",Drama,1994,"Enfer, L'",5,3.2
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,1992,Like Water for Chocolate (Como agua para chocolate),772,3.932642487
266,Legends of the Fall (1994),Drama|Romance|War|Western,1994,Legends of the Fall,705,3.425531915
267,Major Payne (1994),Comedy,1994,Major Payne,140,2.728571429
268,Little Odessa (1994),Drama,1994,Little Odessa,54,3.37037037
269,My Crazy Life (Mi vida loca) (1993),Drama,1993,My Crazy Life (Mi vida loca),55,3.527272727
270,Love Affair (1994),Drama|Romance,1994,Love Affair,79,3.037974684
271,Losing Isaiah (1995),Drama,1995,Losing Isaiah,63,3.142857143
272,"Madness of King George, The (1994)",Drama,1994,"Madness of King George, The",383,3.725848564
273,Mary Shelley's Frankenstein (1994),Drama|Horror,1994,Mary Shelley's Frankenstein,244,2.897540984
274,Man of the House (1995),Comedy,1995,Man of the House,24,2.375
275,Mixed Nuts (1994),Comedy,1994,Mixed Nuts,80,2.5375
276,Milk Money (1994),Comedy|Romance,1994,Milk Money,228,2.692982456
277,Miracle on 34th Street (1994),Drama,1994,Miracle on 34th Street,170,3.182352941
278,Miami Rhapsody (1995),Comedy,1995,Miami Rhapsody,40,2.75
279,My Family (1995),Drama,1995,My Family,46,3.717391304
280,Murder in the First (1995),Drama|Thriller,1995,Murder in the First,212,3.570754717
281,Nobody's Fool (1994),Drama,1994,Nobody's Fool,233,3.64806867
282,Nell (1994),Drama,1994,Nell,215,3.223255814
283,New Jersey Drive (1995),Crime|Drama,1995,New Jersey Drive,18,3
284,New York Cop (1996),Action|Crime,1996,New York Cop,,
285,Beyond Bedlam (1993),Drama|Horror,1993,Beyond Bedlam,,
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,1995,Nemesis 2: Nebula,1,3
287,Nina Takes a Lover (1994),Comedy|Romance,1994,Nina Takes a Lover,21,2.904761905
288,Natural Born Killers (1994),Action|Thriller,1994,Natural Born Killers,700,3.144285714
289,Only You (1994),Comedy|Romance,1994,Only You,158,3.341772152
290,Once Were Warriors (1994),Crime|Drama,1994,Once Were Warriors,168,3.916666667
291,Poison Ivy II (1995),Thriller,1995,Poison Ivy II,48,2.208333333
292,Outbreak (1995),Action|Drama|Thriller,1995,Outbreak,733,3.268758527
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,1994,"Professional, The (a.k.a. Leon: The Professional)",923,4.106175515
294,"Perez Family, The (1995)",Comedy|Romance,1995,"Perez Family, The",42,3.095238095
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,1995,"Pyromaniac's Love Story, A",29,2.75862069
296,Pulp Fiction (1994),Crime|Drama,1994,Pulp Fiction,2171,4.278212805
297,Panther (1995),Drama,1995,Panther,28,3.107142857
298,Pushing Hands (1992),Comedy,1992,Pushing Hands,23,3.913043478
299,Priest (1994),Drama,1994,Priest,143,3.664335664
300,Quiz Show (1994),Drama,1994,Quiz Show,705,3.758865248
301,Picture Bride (1995),Drama|Romance,1995,Picture Bride,43,3.302325581
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,1994,Queen Margot (La Reine Margot),86,3.813953488
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,1995,"Quick and the Dead, The",418,2.976076555
304,Roommates (1995),Comedy|Drama,1995,Roommates,35,3.142857143
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,1994,Ready to Wear (Pret-A-Porter),127,2.503937008
306,Three Colors: Red (1994),Drama,1994,Three Colors: Red,334,4.22754491
307,Three Colors: Blue (1993),Drama,1993,Three Colors: Blue,243,4.098765432
308,Three Colors: White (1994),Drama,1994,Three Colors: White,202,3.965346535
309,"Red Firecracker, Green Firecracker (1994)",Drama,1994,"Red Firecracker, Green Firecracker",48,3.6875
310,Rent-a-Kid (1995),Comedy,1995,Rent-a-Kid,6,2.666666667
311,Relative Fear (1994),Horror|Thriller,1994,Relative Fear,1,3
312,Stuart Saves His Family (1995),Comedy,1995,Stuart Saves His Family,112,2.4375
313,"Swan Princess, The (1994)",Animation|Children's,1994,"Swan Princess, The",54,2.888888889
314,"Secret of Roan Inish, The (1994)",Drama,1994,"Secret of Roan Inish, The",300,3.85
315,"Specialist, The (1994)",Action,1994,"Specialist, The",153,2.653594771
316,Stargate (1994),Action|Adventure|Sci-Fi,1994,Stargate,1116,3.490143369
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,1994,"Santa Clause, The",641,3.191887676
318,"Shawshank Redemption, The (1994)",Drama,1994,"Shawshank Redemption, The",2227,4.554557701
319,Shallow Grave (1994),Thriller,1994,Shallow Grave,273,3.893772894
320,Suture (1993),Film-Noir|Thriller,1993,Suture,32,3.40625
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,1993,Strawberry and Chocolate (Fresa y chocolate),61,3.754098361
322,Swimming with Sharks (1995),Comedy|Drama,1995,Swimming with Sharks,209,3.71291866
324,"Sum of Us, The (1994)",Comedy,1994,"Sum of Us, The",33,3.96969697
325,National Lampoon's Senior Trip (1995),Comedy,1995,National Lampoon's Senior Trip,49,2.448979592
326,To Live (Huozhe) (1994),Drama,1994,To Live (Huozhe),61,4.344262295
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,1995,Tank Girl,358,2.61452514
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,1995,Tales From the Crypt Presents: Demon Knight,144,3.111111111
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,1994,Star Trek: Generations,990,3.376767677
330,Tales from the Hood (1995),Comedy|Horror,1995,Tales from the Hood,149,2.731543624
331,Tom & Viv (1994),Drama,1994,Tom & Viv,21,3.095238095
332,Village of the Damned (1995),Horror|Sci-Fi,1995,Village of the Damned,161,2.546583851
333,Tommy Boy (1995),Comedy,1995,Tommy Boy,410,3.502439024
334,Vanya on 42nd Street (1994),Drama,1994,Vanya on 42nd Street,114,3.859649123
335,"Underneath, The (1995)",Mystery|Thriller,1995,"Underneath, The",41,3.487804878
